arm,seed,start_step,step,layer_param,head0_weight_norm,head1_weight_norm,head_weight_norm_ratio,head0_update_norm,head1_update_norm,head_update_norm_ratio,head0_angular_step,head1_angular_step,full_vs_headwise_update_cosine
candidate,1,2000,correctness_1step,layer_000.wq,,,,,,,,,0.8250446349|relL2=0.5976642632|maxAbs=0.001322908327
candidate,1,2000,2001,layer_000.wq,5.609137259,5.473883586,0.9758869027,0.03822772935,0.03374742814,0.8827997034,1.539979542,1.561441851,
candidate,1,2000,2001,layer_000.wk,5.691313371,5.602550172,0.9844037408,0.04826835823,0.03581137983,0.7419224756,1.546743847,1.562183461,
candidate,1,2000,2001,layer_010.wq,5.820465803,6.238251084,1.071778668,0.01028666986,0.008193967266,0.7965617036,1.445257896,1.69632563,
candidate,1,2000,2001,layer_018.wq,5.312176452,5.559339985,1.046527734,0.02105223791,0.02933030012,1.393215308,1.586472104,1.531312874,
candidate,1,2000,2050,layer_000.wq,5.701843877,5.510314891,0.9664092898,0.03454068939,0.02851498393,0.8255476203,1.573025142,1.64174465,
candidate,1,2000,2050,layer_000.wk,5.786957399,5.645922196,0.9756287816,0.04148410974,0.03199011035,0.7711413009,1.572624798,1.632505873,
candidate,1,2000,2050,layer_010.wq,5.866246534,6.32118616,1.077552081,0.007940263718,0.005255252152,0.6618485655,1.464633957,1.511393674,
candidate,1,2000,2050,layer_018.wq,5.363523984,5.579834326,1.040329892,0.02140038511,0.0204660009,0.9563379719,1.525349713,1.600198251,
candidate,1,2000,2100,layer_000.wq,5.76981989,5.593541284,0.9694481614,0.02944282777,0.02854692679,0.9695715033,1.60835583,1.502358432,
candidate,1,2000,2100,layer_000.wk,5.84587189,5.734895656,0.9810163076,0.03430849698,0.03277441509,0.9552856574,1.602607651,1.512667988,
candidate,1,2000,2100,layer_010.wq,5.934447,6.415236309,1.0810167,0.01011866712,0.008825064584,0.872156825,1.563296598,1.583029924,
candidate,1,2000,2100,layer_018.wq,5.433362653,5.63474908,1.037064787,0.02536896699,0.01766197479,0.6962039407,1.515741091,1.674095181,
candidate,1,2000,2150,layer_000.wq,5.843790401,5.662999897,0.9690628013,0.05465091909,0.03171391075,0.5802996781,1.616570225,1.552803744,
candidate,1,2000,2150,layer_000.wk,5.916924336,5.811392346,0.9821643841,0.07697140668,0.03724306553,0.4838558517,1.602889115,1.555866423,
candidate,1,2000,2150,layer_010.wq,6.014780376,6.499739199,1.080627852,0.02002865277,0.006417720308,0.3204269594,1.434209788,1.670426984,
