"configuration_id","bucket","token_count","percent_tokens","selected_nll_mean","final_nll_mean","nll_contribution","mean_rank_selected","mean_rank_final","mean_margin_selected","mean_margin_final","mean_entropy_selected","mean_entropy_final","first_error_positions_selected","first_error_positions_final","selected_exact_count","final_exact_count"
"L19_SEED_1","BOTH_CORRECT","5","3.4722222222222223","1.4147793076041695","0.21068406549712856","6.0204762105352039","1","1","0.40388247966766355","3.1554059982299805","2.6683428421829714","0.4032552449804544","0","0","5","5"
"L19_SEED_1","SELECTED_CORRECT_FINAL_WRONG","9","6.25","1.7741296626541514","10.362573007303425","-77.295990101843458","1","7.5555555555555554","0.2831355200873481","-10.25962519314554","2.8529502890668517","0.26340100352514062","0","1","9","0"
"L19_SEED_1","SELECTED_WRONG_FINAL_CORRECT","25","17.361111111111111","3.1310591936384684","0.12014724102696971","75.272798815287473","7.5199999999999996","1","-1.4022550010681152","3.6961941719055176","2.8960519691721966","0.30199350672224645","7","0","0","25"
"L19_SEED_1","BOTH_WRONG","105","72.916666666666671","3.5715013949683989","10.21451684170848","-697.51662190770844","11.828571428571429","10.342857142857143","-1.8675072868753757","-10.076698091271378","2.8513408644634994","0.31122905357563124","17","21","0","0"
"L19_SEED_2","BOTH_CORRECT","4","2.7777777777777777","3.0230628968498787","0.18898317392741745","11.336318891689846","1","1","0.03876890242099762","3.3873375654220581","3.4400562999001032","0.42255587922309246","0","0","4","4"
"L19_SEED_2","SELECTED_CORRECT_FINAL_WRONG","16","11.111111111111111","2.794983523804444","5.0531260548345598","-36.130280496481852","1","3.125","0.079731272533535957","-4.9411873295903206","3.4031209394951674","0.25158008836904283","0","2","16","0"
"L19_SEED_2","SELECTED_WRONG_FINAL_CORRECT","59","40.972222222222221","3.1819586278342471","0.079468473113534679","183.04691912852203","7.7457627118644066","1","-0.37992291521060012","4.5850665932994774","3.4056333067628053","0.17645776610310634","16","0","0","59"
"L19_SEED_2","BOTH_WRONG","65","45.138888888888886","3.3206094463686364","7.9402868959440722","-300.27903422240331","11.292307692307693","6.615384615384615","-0.37076198464760984","-7.7408067883207252","3.4280508414453781","0.41262007073873752","8","16","0","0"
"L19_SEED_4","BOTH_CORRECT","6","4.166666666666667","2.0393456088299553","0.038751994546677417","12.003561685699667","1","1","0.21496867140134177","5.9407343864440918","3.0708975055570931","0.12346582478028932","0","0","6","6"
"L19_SEED_4","SELECTED_CORRECT_FINAL_WRONG","16","11.111111111111111","1.9550418817887203","8.0363499275682244","-97.300928732472073","1","5.4375","0.3474438413977623","-7.9141120314598083","3.063648835682756","0.28440346261676214","0","1","16","0"
"L19_SEED_4","SELECTED_WRONG_FINAL_CORRECT","40","27.777777777777779","3.021055970286564","0.10490876552489097","116.64588819046692","7.2999999999999998","1","-0.95986082423478369","4.5685033798217773","3.0795863926144964","0.21354415778749591","10","0","0","40"
"L19_SEED_4","BOTH_WRONG","82","56.944444444444443","3.3523778140707186","11.701945728446058","-684.66456897877788","11.926829268292684","11.719512195121951","-1.2129865869107406","-11.536553441001693","3.1651057632523156","0.33263396598066308","14","17","0","0"
"L18_SEED_2_CONTROL","BOTH_CORRECT","8","5.5555555555555554","2.8452871177635748","0.1174086618740246","21.823027647116401","1","1","0.067083541303873062","4.3820640444755554","3.41436739432935","0.24037514602921706","0","0","8","8"
"L18_SEED_2_CONTROL","SELECTED_CORRECT_FINAL_WRONG","10","6.9444444444444446","2.9415037666234518","8.0545516603403762","-51.130478937169251","1","5.2000000000000002","0.049456825852394103","-7.8927430187817667","3.4243457405204447","0.35751912517533951","0","1","10","0"
"L18_SEED_2_CONTROL","SELECTED_WRONG_FINAL_CORRECT","57","39.583333333333336","3.1676433293357595","0.12290943717848105","173.54983185296487","7.0526315789473681","1","-0.29959947715529744","4.1363969016493414","3.4173362243879617","0.24963741899505598","14","0","0","57"
"L18_SEED_2_CONTROL","BOTH_WRONG","69","47.916666666666664","3.3387725425171451","9.7838337060848222","-444.70922028616974","11.405797101449275","9.72463768115942","-0.33488194240624947","-9.6201592846841049","3.4347768922741859","0.36545493149084385","10","15","0","0"
