"configuration_id","case_id","length","selected_first_error","final_first_error","local_hit","drift_hit","near_gold","delta_rank_mean","delta_margin_mean","rank1_cross_selected_on_final_prefix","rank1_cross_final_on_selected_prefix","corroboration_computed","attribution"
"L19_SEED_1","AR_DEVELOPMENT_V3_active_0_suffix_3_rollout_4","4","1","1","true","true","false","3","0.37673792491356534","0","0","true","MIXED"
"L19_SEED_1","AR_DEVELOPMENT_V3_active_0_suffix_3_rollout_8","8","1","1","true","true","false","1.4285714285714286","0.25640507255281719","0","0.42857142857142855","true","MIXED"
"L19_SEED_1","AR_DEVELOPMENT_V3_active_0_suffix_4_rollout_4","4","1","1","true","true","false","5.666666666666667","0.5621104662617048","0","0","true","MIXED"
"L19_SEED_1","AR_DEVELOPMENT_V3_active_0_suffix_4_rollout_8","8","1","1","true","true","false","1.4285714285714286","0.37389298847743441","0.14285714285714285","0","true","MIXED"
"L19_SEED_1","AR_DEVELOPMENT_V3_active_0_suffix_5_rollout_4","4","1","1","true","true","false","2","0.34297035137812298","0","0","true","MIXED"
"L19_SEED_1","AR_DEVELOPMENT_V3_active_0_suffix_5_rollout_8","8","1","1","false","true","false","2","0.30598241090774536","0.14285714285714285","0.14285714285714285","true","NO_CLEAR_ATTRIBUTION"
"L19_SEED_1","AR_DEVELOPMENT_V3_active_1_suffix_3_rollout_4","4","1","1","true","true","false","2.3333333333333335","0.071662160257498428","0","0","true","MIXED"
"L19_SEED_1","AR_DEVELOPMENT_V3_active_1_suffix_3_rollout_8","8","1","2","true","false","false","-1.2857142857142858","-0.41567295497017248","0","0","true","LOCAL_LOGIT_RANKING_FAILURE"
"L19_SEED_1","AR_DEVELOPMENT_V3_active_1_suffix_4_rollout_4","4","1","2","true","false","false","0.66666666666666663","-0.012359408351282278","0","0","true","LOCAL_LOGIT_RANKING_FAILURE"
"L19_SEED_1","AR_DEVELOPMENT_V3_active_1_suffix_4_rollout_8","8","1","1","true","true","false","1","-0.10980623109000069","0","0","true","MIXED"
"L19_SEED_1","AR_DEVELOPMENT_V3_active_1_suffix_5_rollout_4","4","1","1","true","true","false","1.3333333333333333","0.15464764336744943","0","0","true","MIXED"
"L19_SEED_1","AR_DEVELOPMENT_V3_active_1_suffix_5_rollout_8","8","1","3","true","false","false","-0.42857142857142855","-0.37512750604322981","0","0","true","LOCAL_LOGIT_RANKING_FAILURE"
"L19_SEED_1","AR_DEVELOPMENT_V3_active_2_suffix_3_rollout_4","4","1","1","true","true","false","12","1.5794069742163022","0","0","true","MIXED"
"L19_SEED_1","AR_DEVELOPMENT_V3_active_2_suffix_3_rollout_8","8","1","1","true","true","false","5.8571428571428568","1.0940178137804781","0","0.14285714285714285","true","MIXED"
"L19_SEED_1","AR_DEVELOPMENT_V3_active_2_suffix_4_rollout_4","4","1","1","true","true","false","5.666666666666667","1.0567993621031444","0","0","true","MIXED"
"L19_SEED_1","AR_DEVELOPMENT_V3_active_2_suffix_4_rollout_8","8","1","1","true","true","false","4.1428571428571432","0.90340293943881989","0.2857142857142857","0.2857142857142857","true","MIXED"
"L19_SEED_1","AR_DEVELOPMENT_V3_active_2_suffix_5_rollout_4","4","1","1","true","true","false","3","0.60457877473284805","0.33333333333333331","0.33333333333333331","true","MIXED"
"L19_SEED_1","AR_DEVELOPMENT_V3_active_2_suffix_5_rollout_8","8","1","1","true","true","false","2.2857142857142856","0.70224659570625847","0.14285714285714285","0.14285714285714285","true","MIXED"
"L19_SEED_1","AR_DEVELOPMENT_V3_active_3_suffix_3_rollout_4","4","1","2","true","true","false","1.3333333333333333","0.055961052576700844","0.33333333333333331","0.33333333333333331","true","MIXED"
"L19_SEED_1","AR_DEVELOPMENT_V3_active_3_suffix_3_rollout_8","8","1","1","false","true","false","3.1428571428571428","0.37309377214738298","0.2857142857142857","0.14285714285714285","true","NO_CLEAR_ATTRIBUTION"
"L19_SEED_1","AR_DEVELOPMENT_V3_active_3_suffix_4_rollout_4","4","2","1","true","false","false","0","0.078690588474273682","0.5","0","true","LOCAL_LOGIT_RANKING_FAILURE"
"L19_SEED_1","AR_DEVELOPMENT_V3_active_3_suffix_4_rollout_8","8","1","-1","true","true","false","4.5714285714285712","0.61472589416163304","0.42857142857142855","0.2857142857142857","true","MIXED"
"L19_SEED_1","AR_DEVELOPMENT_V3_active_3_suffix_5_rollout_4","4","1","-1","true","true","false","3.6666666666666665","0.50055801868438721","0.33333333333333331","0.33333333333333331","true","MIXED"
"L19_SEED_1","AR_DEVELOPMENT_V3_active_3_suffix_5_rollout_8","8","1","2","true","true","false","6.8571428571428568","0.77538611034729654","0.14285714285714285","0.14285714285714285","true","MIXED"
"L19_SEED_2","AR_DEVELOPMENT_V3_active_0_suffix_3_rollout_4","4","1","-1","true","true","false","1.6666666666666667","0.14274738232294717","0.33333333333333331","0","true","MIXED"
"L19_SEED_2","AR_DEVELOPMENT_V3_active_0_suffix_3_rollout_8","8","1","-1","true","true","false","2.7142857142857144","0.26313974601881845","0.42857142857142855","0","true","MIXED"
"L19_SEED_2","AR_DEVELOPMENT_V3_active_0_suffix_4_rollout_4","4","1","-1","true","true","false","2","0.17677501837412515","0.33333333333333331","0","true","MIXED"
"L19_SEED_2","AR_DEVELOPMENT_V3_active_0_suffix_4_rollout_8","8","1","-1","true","true","false","1.7142857142857142","0.19002071555171693","0.42857142857142855","0.14285714285714285","true","MIXED"
"L19_SEED_2","AR_DEVELOPMENT_V3_active_0_suffix_5_rollout_4","4","1","-1","true","true","false","3","0.23258953789869943","0.66666666666666663","0","true","MIXED"
"L19_SEED_2","AR_DEVELOPMENT_V3_active_0_suffix_5_rollout_8","8","1","-1","true","true","false","1.5714285714285714","0.16339289929185594","0.42857142857142855","0.14285714285714285","true","MIXED"
"L19_SEED_2","AR_DEVELOPMENT_V3_active_1_suffix_3_rollout_4","4","2","1","true","true","false","0.5","0.14353810623288155","0","0","true","MIXED"
