seed,step,layer_param,suffix,rows,columns,head,head_rows,head_cols,weight_frobenius,weight_rms,weight_spectral,weight_max_abs,weight_elements,momentum_frobenius,momentum_rms,momentum_spectral,momentum_max_abs,weight_momentum_cosine
1,500,layer_000.wq,wq,64,64,0,64,32,3.7669898276368725,0.08323950161821178,1.1432628192503582,0.2986442744731903,2048,0.013929736672460818,0.0003078066019137494,0.006361814259320921,0.001258181524462998,-0.06630632623008352
1,500,layer_000.wq,wq,64,64,1,64,32,3.6657556971820338,0.0810025222390824,1.0661971934485832,0.25411561131477356,2048,0.011568258201190434,0.0002556248068930828,0.005694228165285487,0.0010355098638683558,-0.0755960343469701
1,500,layer_001.wq,wq,64,64,0,64,32,4.080108508417944,0.09015851232122683,1.247365608898821,0.29412224888801575,2048,0.001288724943799458,2.847706708890154e-05,0.0009292223895527191,0.00013279930863063782,-0.06741110950450675
1,500,layer_001.wq,wq,64,64,1,64,32,3.9300183516283513,0.08684195708199956,1.228812233918704,0.30793988704681396,2048,0.003419242857247008,7.555530659009457e-05,0.0028898065260170277,0.0005874001071788371,0.06679002228776662
1,500,layer_002.wq,wq,64,64,0,64,32,4.278014897531545,0.09453166700192592,1.4027164524011255,0.30662867426872253,2048,0.000337638485744798,7.460826964365755e-06,0.0002766224487269844,3.565814404282719e-05,-0.10741848365318056
1,500,layer_002.wq,wq,64,64,1,64,32,4.179419199789116,0.09235298929975434,1.2624094591710557,0.3183884024620056,2048,0.0004743031261403464,1.0480717400994294e-05,0.0004370436544009612,6.48374916636385e-05,-0.1327293298980517
1,500,layer_003.wq,wq,64,64,0,64,32,4.216196580406327,0.09316566227565147,1.2578583128609317,0.32778310775756836,2048,0.00023558168930743793,5.205669063520992e-06,0.00022049627217581922,2.610136471048463e-05,-0.13815372091040662
1,500,layer_003.wq,wq,64,64,1,64,32,4.213503581486485,0.09310615484446559,1.2751190628747375,0.30043861269950867,2048,0.0007009990079327896,1.5490036003572437e-05,0.0006762964823418231,7.243223080877215e-05,-0.16073639254881558
1,500,layer_004.wq,wq,64,64,0,64,32,4.198136379508662,0.09276658444676614,1.266725692287214,0.3409413695335388,2048,0.00013807611361705145,3.0510798830781653e-06,0.00011635887352503108,1.4708257367601618e-05,-0.036630554789451854
1,500,layer_004.wq,wq,64,64,1,64,32,4.238441030275993,0.0936571998177329,1.2908465006481509,0.31259623169898987,2048,0.0001748490300344665,3.863654213164425e-06,0.00016420882856458353,1.7179025235236622e-05,-0.2159703024143553
1,500,layer_005.wq,wq,64,64,0,64,32,4.153253855006943,0.09177481140201812,1.2866587696059906,0.32218900322914124,2048,0.00018556208444781241,4.100381507629968e-06,0.0001698386316479651,1.7132062566815875e-05,-0.035040349740240936
1,500,layer_005.wq,wq,64,64,1,64,32,4.330505252412528,0.0956915509357769,1.3498904664964657,0.33099085092544556,2048,0.0006161918954627483,1.3616045868559427e-05,0.0005707907512951067,7.947662379592657e-05,-0.15861102047663755
1,500,layer_006.wq,wq,64,64,0,64,32,4.252758969622071,0.09397358456786506,1.2994061222628983,0.3295646607875824,2048,0.00013190038969555372,2.9146143748398207e-06,0.00010968103821651369,1.6308425983879715e-05,-0.10716171590452131
1,500,layer_006.wq,wq,64,64,1,64,32,4.292748004358149,0.09485722574395833,1.3052340371981195,0.31066545844078064,2048,0.00012698545236944025,2.806008577577267e-06,0.0001081087785633873,1.3482656868291087e-05,-0.031133192158724544
1,500,layer_007.wq,wq,64,64,0,64,32,4.084022973483771,0.09024501059600072,1.1758784285046704,0.2994045913219452,2048,0.00021324365293698305,4.712063532397856e-06,0.00019105984046205714,2.0238278011674993e-05,-0.04949980519922493
1,500,layer_007.wq,wq,64,64,1,64,32,4.111160896773193,0.09084467964554044,1.2963958725084308,0.3219759464263916,2048,0.00021884832133779164,4.83591037716391e-06,0.00019978870308377006,2.321255306014791e-05,-0.14905111003987417
1,500,layer_008.wq,wq,64,64,0,64,32,4.236614894098677,0.09361684752790944,1.3369257104076129,0.2903080880641937,2048,0.00017052451047537432,3.768094928614177e-06,0.00014555294806901898,1.636749402678106e-05,-0.1616994897696935
1,500,layer_008.wq,wq,64,64,1,64,32,4.059059467813535,0.08969338984157532,1.225477304122778,0.30040669441223145,2048,0.00018183132188418782,4.017942523013222e-06,0.00016668797078075849,1.9626801076810807e-05,-0.09435192802162926
1,500,layer_009.wq,wq,64,64,0,64,32,4.160459705272084,0.09193403970160235,1.3104070408710087,0.33901429176330566,2048,0.00012928780119071182,2.8568837795828297e-06,0.00010492195316853686,1.1742562492145225e-05,-0.1246425666465765
