seed,step,layer_param,suffix,head0_weight_rms,head1_weight_rms,head_rms_ratio_h1_over_h0,head0_weight_frobenius,head1_weight_frobenius,head_fro_ratio_h1_over_h0,head_cosine_flattened,momentum_rms_ratio_h1_over_h0,pooled_weight_rms
1,500,layer_000.wq,wq,0.08323950161821178,0.0810025222390824,0.9731259878346034,3.7669898276368725,3.6657556971820338,0.9731259878346034,-0.007160685585124854,0.8304721383614492,0.0821286285004849
1,500,layer_001.wq,wq,0.09015851232122683,0.08684195708199956,0.9632141751916815,4.080108508417944,3.9300183516283513,0.9632141751916813,-0.011589439266507589,2.6531983210989094,0.0885157693685387
1,500,layer_002.wq,wq,0.09453166700192592,0.09235298929975434,0.9769529325857843,4.278014897531545,4.179419199789116,0.9769529325857843,-0.011420886722762586,1.404766180887464,0.09344867762243494
1,500,layer_003.wq,wq,0.09316566227565147,0.09310615484446559,0.9993612729225301,4.216196580406327,4.213503581486485,0.9993612729225301,0.012957379723290488,2.9756090551586736,0.09313591331270217
1,500,layer_004.wq,wq,0.09276658444676614,0.0936571998177329,1.0096006053933984,4.198136379508662,4.238441030275993,1.0096006053933981,0.01386746091917202,1.266323518631204,0.09321295582594123
1,500,layer_005.wq,wq,0.09177481140201812,0.0956915509357769,1.042677718144269,4.153253855006943,4.330505252412528,1.042677718144269,0.06706224025121585,3.3206778060096998,0.09375363707177013
1,500,layer_006.wq,wq,0.09397358456786506,0.09485722574395833,1.009403080452413,4.252758969622071,4.292748004358149,1.0094030804524132,0.025797133867486638,0.9627375071638689,0.09441643890862957
1,500,layer_007.wq,wq,0.09024501059600072,0.09084467964554044,1.006644899763204,4.084022973483771,4.111160896773193,1.006644899763204,0.03010414052273986,1.0262829318651039,0.0905453415625927
1,500,layer_008.wq,wq,0.09361684752790944,0.08969338984157532,0.9580902605680623,4.236614894098677,4.059059467813535,0.9580902605680622,0.008897206612987511,1.0663060775092874,0.09167611008964291
1,500,layer_009.wq,wq,0.09193403970160235,0.09249213093344454,1.0060705613900316,4.160459705272084,4.18571603132369,1.0060705613900314,0.017263851825868325,1.9340998577529993,0.09221350752591848
1,500,layer_010.wq,wq,0.08676643549005325,0.09223462650115906,1.063021962124198,3.9266006345217126,4.174062710987393,1.0630219621241983,-0.025212700772321364,2.6800974363580456,0.08954228234040577
1,500,layer_011.wq,wq,0.09047622200083935,0.08980039091606751,0.9925302906130897,4.094486407227712,4.063901783677066,0.9925302906130896,-0.012671620561296604,0.6516329238812724,0.09013893985460364
1,500,layer_012.wq,wq,0.08903185742085273,0.08960605488697318,1.0064493483878048,4.029121927930803,4.055107138940973,1.0064493483878048,-0.0316242067117771,1.0886986096782802,0.08931941756475548
1,500,layer_013.wq,wq,0.08927832860909567,0.08833071540238577,0.989385854087177,4.040275940639519,3.997391862277503,0.9893858540871772,0.021493941485559963,0.9835739785535432,0.0888057859678381
1,500,layer_014.wq,wq,0.08782912647374104,0.08885749812227685,1.011708776915176,3.974692538577485,4.0212313268181035,1.011708776915176,-0.014141520436961576,1.4858412708167141,0.0883448086468323
1,500,layer_015.wq,wq,0.0878441297819162,0.08755175556188831,0.9966716703693946,3.975371510798342,3.9621401640062874,0.9966716703693946,0.010824448519574797,1.4188910035790656,0.08769806451430606
1,500,layer_016.wq,wq,0.08283307077349855,0.08884214065575624,1.0725443331527462,3.7485968672285463,4.020536327220115,1.0725443331527462,0.004227350836828993,1.2459323298529061,0.08589017280825728
1,500,layer_017.wq,wq,0.08497761586193268,0.08591365572550885,1.0110151344454874,3.8456478992024383,3.88800822784216,1.0110151344454876,0.016559696345896678,1.2813745653631112,0.08544691755031147
1,500,layer_018.wq,wq,0.08352130946254885,0.08647758931830668,1.0353955161237436,3.7797429948511,3.9135289489689593,1.0353955161237438,0.019740508665671425,1.0852746054017657,0.08501230084124463
1,500,layer_000.wk,wk,0.08238982776627522,0.08270589964114072,1.0038362973128447,3.728537978516793,3.7428417587446168,1.0038362973128447,-0.003281275875824956,0.7804714507905334,0.08254801498160612
1,500,layer_001.wk,wk,0.08913956349945748,0.08544653442390412,0.9585702584736593,4.033996148638415,3.866868730882071,0.9585702584736593,0.0378914687000792,2.824196477793373,0.08731257648795288
1,500,layer_002.wk,wk,0.09268133628079045,0.09132536090209006,0.9853694882582155,4.1942784879089725,4.132914047243307,0.9853694882582156,-0.0011247346477314805,1.2926538552068323,0.09200584665848677
